2025-08-08 16:04:18,210 [INFO] Scraped https://neetcode.io/problems/serialize-and-deserialize-binary-tree?list=neetcode150 | DSA: 2. Breadth First Search | TC: O(n) | SC: O(n) | Desc_len: 406
2025-08-08 16:04:19,048 [INFO] Scraped https://neetcode.io/problems/kth-largest-integer-in-a-stream?list=neetcode150 | DSA: 2. Min-Heap | TC: O(m∗log⁡k) | SC: O(k) | Desc_len: 406
2025-08-08 16:04:19,967 [INFO] Scraped https://neetcode.io/problems/last-stone-weight?list=neetcode150 | DSA: 4. Bucket Sort | TC: O(n+w) | SC: O(w) | Desc_len: 406
2025-08-08 16:04:20,887 [INFO] Scraped https://neetcode.io/problems/k-closest-points-to-origin?list=neetcode150 | DSA: 4. Quick Select | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:04:21,726 [INFO] Scraped https://neetcode.io/problems/kth-largest-element-in-an-array?list=neetcode150 | DSA: 4. Quick Select (Optimal) | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:04:22,627 [INFO] Scraped https://neetcode.io/problems/task-scheduling?list=neetcode150 | DSA: 4. Math | TC: O(m) | SC: O(1) | Desc_len: 406
2025-08-08 16:04:23,645 [INFO] Scraped https://neetcode.io/problems/design-twitter-feed?list=neetcode150 | DSA: 3. Heap (Optimal) | TC: O(n) | SC: O(N∗m+N∗M+n) | Desc_len: 406
2025-08-08 16:04:24,521 [INFO] Scraped https://neetcode.io/problems/find-median-in-a-data-stream?list=neetcode150 | DSA: 2. Heap | TC: O(m∗log⁡n) | SC: O(n) | Desc_len: 406
2025-08-08 16:04:25,444 [INFO] Scraped https://neetcode.io/problems/subsets?list=neetcode150 | DSA: 3. Bit Manipulation | TC: O(n∗2n) | SC: O(n) | Desc_len: 406
2025-08-08 16:04:26,775 [INFO] Scraped https://neetcode.io/problems/combination-target-sum?list=neetcode150 | DSA: 2. Backtracking (Optimal) | TC: O(2tm) | SC: O(tm) | Desc_len: 406
2025-08-08 16:04:27,667 [INFO] Scraped https://neetcode.io/problems/combination-target-sum-ii?list=neetcode150 | DSA: 4. Backtracking (Optimal) | TC: O(n∗2n) | SC: O(n) | Desc_len: 406
2025-08-08 16:04:28,482 [INFO] Scraped https://neetcode.io/problems/permutations?list=neetcode150 | DSA: 5. Backtracking (Optimal) | TC: O(n!∗n) | SC: O(n!∗n) | Desc_len: 406
2025-08-08 16:04:29,414 [INFO] Scraped https://neetcode.io/problems/subsets-ii?list=neetcode150 | DSA: 4. Iteration | TC: O(n∗2n) | SC: O(1) | Desc_len: 406
2025-08-08 16:04:30,274 [INFO] Scraped https://neetcode.io/problems/search-for-word?list=neetcode150 | DSA: 3. Backtracking (Optimal) | TC: O(m∗4n) | SC: O(n) | Desc_len: 406
2025-08-08 16:04:31,650 [INFO] Scraped https://neetcode.io/problems/palindrome-partitioning?list=neetcode150 | DSA: 4. Recursion | TC: O(n∗2n) | SC: O(n2) | Desc_len: 406
2025-08-08 16:04:32,541 [INFO] Scraped https://neetcode.io/problems/combinations-of-a-phone-number?list=neetcode150 | DSA: 2. Iteration | TC: O(n∗4n) | SC: O(n) | Desc_len: 406
2025-08-08 16:04:33,554 [INFO] Scraped https://neetcode.io/problems/n-queens?list=neetcode150 | DSA: 4. Backtracking (Bit Mask) | TC: O(n!) | SC: O(n2) | Desc_len: 406
2025-08-08 16:04:34,423 [INFO] Scraped https://neetcode.io/problems/implement-prefix-tree?list=neetcode150 | DSA: 2. Prefix Tree (Hash Map) | TC: O(n) | SC: O(t) | Desc_len: 406
2025-08-08 16:04:35,379 [INFO] Scraped https://neetcode.io/problems/design-word-search-data-structure?list=neetcode150 | DSA: 2. Depth First Search (Trie) | TC: O(n) | SC: O(t+n) | Desc_len: 406
2025-08-08 16:04:36,383 [INFO] Scraped https://neetcode.io/problems/search-for-word-ii?list=neetcode150 | DSA: 3. Backtracking (Trie) | TC: O(m∗n∗4∗3t−1+s) | SC: O(s) | Desc_len: 406
2025-08-08 16:04:37,258 [INFO] Scraped https://neetcode.io/problems/count-number-of-islands?list=neetcode150 | DSA: 3. Disjoint Set Union | TC: O(m∗n) | SC: O(m∗n) | Desc_len: 406
2025-08-08 16:04:38,559 [INFO] Scraped https://neetcode.io/problems/max-area-of-island?list=neetcode150 | DSA: 3. Disjoint Set Union | TC: O(m∗n) | SC: O(m∗n) | Desc_len: 406
2025-08-08 16:04:39,418 [INFO] Scraped https://neetcode.io/problems/clone-graph?list=neetcode150 | DSA: 2. Breadth First Search | TC: O(V+E) | SC: O(V) | Desc_len: 406
2025-08-08 16:04:40,310 [INFO] Scraped https://neetcode.io/problems/islands-and-treasure?list=neetcode150 | DSA: 3. Multi Source BFS | TC: O(m∗n) | SC: O(m∗n) | Desc_len: 406
2025-08-08 16:04:41,317 [INFO] Scraped https://neetcode.io/problems/rotting-fruit?list=neetcode150 | DSA: 2. Breadth First Search (No Queue) | TC: O((m∗n) | SC: O(1) | Desc_len: 406
2025-08-08 16:04:42,297 [INFO] Scraped https://neetcode.io/problems/pacific-atlantic-water-flow?list=neetcode150 | DSA: 3. Breadth First Search | TC: O(m∗n) | SC: O(m∗n) | Desc_len: 406
2025-08-08 16:04:43,264 [INFO] Scraped https://neetcode.io/problems/surrounded-regions?list=neetcode150 | DSA: 3. Disjoint Set Union | TC: O(m∗n) | SC: O(m∗n) | Desc_len: 406
2025-08-08 16:04:44,228 [INFO] Scraped https://neetcode.io/problems/course-schedule?list=neetcode150 | DSA: 2. Topological Sort (Kahn's Algorithm) | TC: O(V+E) | SC: O(V+E) | Desc_len: 406
2025-08-08 16:04:45,198 [INFO] Scraped https://neetcode.io/problems/course-schedule-ii?list=neetcode150 | DSA: 3. Topological Sort (DFS) | TC: O(V+E) | SC: O(V+E) | Desc_len: 406
2025-08-08 16:04:46,069 [INFO] Scraped https://neetcode.io/problems/valid-tree?list=neetcode150 | DSA: 3. Disjoint Set Union | TC: O(V+(E∗α(V) | SC: O(V) | Desc_len: 406
2025-08-08 16:04:46,974 [INFO] Scraped https://neetcode.io/problems/count-connected-components?list=neetcode150 | DSA: 3. Disjoint Set Union (Rank | Size) | TC: O(V+(E∗α(V) | SC: O(V) | Desc_len: 406
2025-08-08 16:04:47,889 [INFO] Scraped https://neetcode.io/problems/redundant-connection?list=neetcode150 | DSA: 4. Disjoint Set Union | TC: O(V+(E∗α(V) | SC: O(V) | Desc_len: 406
2025-08-08 16:04:48,993 [INFO] Scraped https://neetcode.io/problems/word-ladder?list=neetcode150 | DSA: 4. Meet In The Middle (BFS) | TC: O(m2∗n) | SC: O(m2∗n) | Desc_len: 406
2025-08-08 16:04:49,897 [INFO] Scraped https://neetcode.io/problems/network-delay-time?list=neetcode150 | DSA: 5. Dijkstra's Algorithm | TC: O(Elog⁡V) | SC: O(V+E) | Desc_len: 406
